Sequence,A or a,E or e,I or i,O or o,U or u,Consonants
aRjkJUnelp,1,1,0,0,1,7
hkNFLl,0,0,0,0,0,6
ofFkWdXK,0,0,0,1,0,7
rzKexJVm,0,1,0,0,0,7
NKjSnhOw,0,0,0,1,0,7
apPAMX,2,0,0,0,0,4
JWHYuahf,1,0,0,0,1,6
DQwTMkqz,0,0,0,0,0,8
DlREOT,0,1,0,1,0,4
hqINwLKQda,1,0,1,0,0,8
YmTILcve,0,1,1,0,0,6
oGcQdC,0,0,0,1,0,5
jYnVUxSQ,0,0,0,0,1,7
zhHGifMD,0,0,1,0,0,7
kJbyrST,0,0,0,0,0,7
bdIYwZcys,0,0,1,0,0,8
RnGESoUHx,0,1,0,1,1,6
mMyXUpT,0,0,0,0,1,6
fVaMmjsBIP,1,0,1,0,0,8
ERhPJgju,0,1,0,0,1,6
icDCvEJL,0,1,1,0,0,6
qMvZwkA,1,0,0,0,0,6
vAzDqU,1,0,0,0,1,4
piQDVgAR,1,0,1,0,0,6
kyrJdGKu,0,0,0,0,1,7
rEMvSGdkY,0,1,0,0,0,8
hVCRajx,1,0,0,0,0,6
GyRCVH,0,0,0,0,0,6
hTgDetW,0,1,0,0,0,6
MNnFhfGY,0,0,0,0,0,8
fkhALip,1,0,1,0,0,5
IMcFNx,0,0,1,0,0,5
AEQTmpRDs,1,1,0,0,0,7
garDuZR,1,0,0,0,1,5
VOWJlIH,0,0,1,1,0,5
wvkMUlr,0,0,0,0,1,6
FbZlCkDhqI,0,0,1,0,0,9
dkuSxBWDC,0,0,0,0,1,8
OEZkFbWio,0,1,1,2,0,5
ekBgZQCG,0,1,0,0,0,7
wGWgKSJ,0,0,0,0,0,7
FmPfZV,0,0,0,0,0,6
JOCLKZExPF,0,1,0,1,0,8
CohlKwTmD,0,0,0,1,0,8
qKNujECAc,1,1,0,0,1,6
lHmNSJ,0,0,0,0,0,6
JDpnvLwH,0,0,0,0,0,8
Abizvw,1,0,1,0,0,4
JlUKyBD,0,0,0,0,1,6
ZJEqVv,0,1,0,0,0,5
aHzMjIye,1,1,1,0,0,5
tWGPnewUF,0,1,0,0,1,7
cBXJDIP,0,0,1,0,0,6
zEcjaCT,1,1,0,0,0,5
WSikyhrYQ,0,0,1,0,0,8
JwOLYqFBa,1,0,0,1,0,7
YBNLjDblAy,1,0,0,0,0,9
XTYydmQH,0,0,0,0,0,8
ezIRXTS,0,1,1,0,0,5
ROWtQNh,0,0,0,1,0,6
aMnspA,2,0,0,0,0,4
KfYmxUIu,0,0,1,0,2,5
taKMREjUO,1,1,0,1,1,5
LwKCoZ,0,0,0,1,0,5
otWOSVRH,0,0,0,2,0,6
sDMjcBK,0,0,0,0,0,7
arexAHCtXk,2,1,0,0,0,7
uARshZ,1,0,0,0,1,4
iDaxpEuO,1,1,1,1,1,3
sBljvw,0,0,0,0,0,6
wouXnsP,0,0,0,1,1,5
SnNDYiv,0,0,1,0,0,6
bheStI,0,1,1,0,0,4
wZfqikL,0,0,1,0,0,6
pvxdUHk,0,0,0,0,1,6
ZGXBkOhJqo,0,0,0,2,0,8
FvKydXS,0,0,0,0,0,7
pOqGrTBx,0,0,0,1,0,7
ozieGrsWy,0,1,1,1,0,6
jKxIvDaTl,1,0,1,0,0,7
legGRrWk,0,1,0,0,0,7
BmqpSxoIt,0,0,1,1,0,7
fFGoSq,0,0,0,1,0,5
bRpJUdEjw,0,1,0,0,1,7
hxJrKue,0,1,0,0,1,5
fpDCRH,0,0,0,0,0,6
lAMJSVp,1,0,0,0,0,6
VeDqnPXzGs,0,1,0,0,0,9
oIpOnWx,0,0,1,2,0,4
gpRMSfbWnt,0,0,0,0,0,10
ROtKUgeGFb,0,1,0,1,1,7
fUWMLHmeDE,0,2,0,0,1,7
xRlPnoz,0,0,0,1,0,6
oTJYAqmvwd,1,0,0,1,0,8
yDovLAEmYP,1,1,0,1,0,7
DXaHZiAU,2,0,1,0,1,4
BOPYXRGuIn,0,0,1,1,1,7
iVyTZN,0,0,1,0,0,5
ViNfOKLlzC,0,0,1,1,0,8
DRjNoCy,0,0,0,1,0,6
vYkajLC,1,0,0,0,0,6
Avlxrj,1,0,0,0,0,5
ejVBgcH,0,1,0,0,0,6
qykjVtZ,0,0,0,0,0,7
olLSxcaC,1,0,0,1,0,6
upTDwMYKcm,0,0,0,0,1,9
QekJUv,0,1,0,0,1,4
mfzHhgRdyq,0,0,0,0,0,10
AtUkODeV,1,1,0,1,1,4
NGKUFP,0,0,0,0,1,5
xcBCyo,0,0,0,1,0,5
qMETvtbKU,0,1,0,0,1,7
LuzCGI,0,0,1,0,1,4
teJDaY,1,1,0,0,0,4
WvsNRwcA,1,0,0,0,0,7
AgzBmXu,1,0,0,0,1,5
eKfiREH,0,2,1,0,0,4
PkLQXuSMa,1,0,0,0,1,7
RkrnXg,0,0,0,0,0,6
mYJioQyr,0,0,1,1,0,6
iGkEoBH,0,1,1,1,0,4
zkcuCKe,0,1,0,0,1,5
qJRiUph,0,0,1,0,1,5
PJEKfHi,0,1,1,0,0,5
OZtjzBN,0,0,0,1,0,6
BnCOwHxRE,0,1,0,1,0,7
EomhlDz,0,1,0,1,0,5
ETDZoJA,1,1,0,1,0,4
WGzXfpYUwB,0,0,0,0,1,9
BprRJAuy,1,0,0,0,1,6
jKfHpYD,0,0,0,0,0,7
WIGoEg,0,1,1,1,0,3
pHbjwZSJq,0,0,0,0,0,9
aXDGynMZ,1,0,0,0,0,7
cpABzuICx,1,0,1,0,1,6
NCEmcu,0,1,0,0,1,4
XJeGuD,0,1,0,0,1,4
vikOYNHrt,0,0,1,1,0,7
SbIpxokmuv,0,0,1,1,1,7
dkcZVOeos,0,1,0,2,0,6
IMtpXK,0,0,1,0,0,5
dIhDiKtEUY,0,1,2,0,1,6
hNSmiKr,0,0,1,0,0,6
xfoLEsMGyn,0,1,0,1,0,8
liFAMQ,1,0,1,0,0,4
hwLWbalmM,1,0,0,0,0,8
CpRedj,0,1,0,0,0,5
KGLsSIk,0,0,1,0,0,6
YDuQBFr,0,0,0,0,1,6
egAZXF,1,1,0,0,0,4
ITbXxgv,0,0,1,0,0,6
oKpESfFCPY,0,1,0,1,0,8
KUyJXplNg,0,0,0,0,1,8
eFzBQucl,0,1,0,0,1,6
wxMAfk,1,0,0,0,0,5
jhVCKaO,1,0,0,1,0,5
lRvUBX,0,0,0,0,1,5
cwgJFrjq,0,0,0,0,0,8
ZAYcufs,1,0,0,0,1,5
CtHapFcDM,1,0,0,0,0,8
PqcFpXKh,0,0,0,0,0,8
zojgmcrL,0,0,0,1,0,7
NtKiLorbEC,0,1,1,1,0,7
ymFvdo,0,0,0,1,0,5
aPqimAclth,2,0,1,0,0,7
UsdhKZ,0,0,0,0,1,5
XcQmyTIPGF,0,0,1,0,0,9
XYlNVSe,0,1,0,0,0,6
oDxgZR,0,0,0,1,0,5
ouOGqtAQ,1,0,0,2,1,4
lKmZbI,0,0,1,0,0,5
YhAiFEy,1,1,1,0,0,4
MHbTiFaqf,1,0,1,0,0,7
rnyEgc,0,1,0,0,0,5
gzbLWqlj,0,0,0,0,0,8
wOLskt,0,0,0,1,0,5
wYBKVe,0,1,0,0,0,5
ODzfCc,0,0,0,1,0,5
xASKXqgOC,1,0,0,1,0,7
KmxPOW,0,0,0,1,0,5
ANzJpTaH,2,0,0,0,0,6
bKgWnASpjL,1,0,0,0,0,9
xJsjnSlLoV,0,0,0,1,0,9
DCBurdUbXR,0,0,0,0,2,8
mgJEUw,0,1,0,0,1,4
tbXkrJI,0,0,1,0,0,6
EUhgRa,1,1,0,0,1,3
fNuMTCberG,0,1,0,0,1,8
lxyGiCUFY,0,0,1,0,1,7
KijnmzJq,0,0,1,0,0,7
bwpmgQEk,0,1,0,0,0,7
zTbmnK,0,0,0,0,0,6
JvsoUZ,0,0,0,1,1,4
LjwFnClxG,0,0,0,0,0,9
XHSlNkKxIc,0,0,1,0,0,9
mWhINs,0,0,1,0,0,5
rEpUNoq,0,1,0,1,1,4
WKUiyN,0,0,1,0,1,4
QnUAzrm,1,0,0,0,1,5
CZIDiRQLU,0,0,2,0,1,6
tfvNPzHb,0,0,0,0,0,8
PVgclNfvK,0,0,0,0,0,9
timFyI,0,0,2,0,0,4
WYTAtBP,1,0,0,0,0,6
CtGlRWF,0,0,0,0,0,7
IFaxAwm,2,0,1,0,0,4
EiAoXF,1,1,1,1,0,2
LPuHfd,0,0,0,0,1,5
bxHJvesgw,0,1,0,0,0,8
UcgdWs,0,0,0,0,1,5
MOGpPjwQS,0,0,0,1,0,8
qUlgIy,0,0,1,0,1,4
vlSXRFBbNE,0,1,0,0,0,9
LABgcY,1,0,0,0,0,5
oVnhdUx,0,0,0,1,1,5
fzhHVamLOo,1,0,0,2,0,7
AieqMspj,1,1,1,0,0,5
LvlmsTUGB,0,0,0,0,1,8
iVpxHKCDG,0,0,1,0,0,8
MpsIzDb,0,0,1,0,0,6
zrHVcEN,0,1,0,0,0,6
PLVJRQoql,0,0,0,1,0,8
qCucLQo,0,0,0,1,1,5
dReKzQLls,0,1,0,0,0,8
bQxNaEwCSM,1,1,0,0,0,8
VTzxDwvQ,0,0,0,0,0,8
eGvYNTgSF,0,1,0,0,0,8
trpAKxB,1,0,0,0,0,6
gTmnhpvXHa,1,0,0,0,0,9
fpVYncq,0,0,0,0,0,7
uqfTCn,0,0,0,0,1,5
QYgsNWn,0,0,0,0,0,7
oKqEPI,0,1,1,1,0,3
MhSYtfCqP,0,0,0,0,0,9
cEZDTwpP,0,1,0,0,0,7
NLTYAO,1,0,0,1,0,4
dTCHsbI,0,0,1,0,0,6
emAUYjS,1,1,0,0,1,4
AwbQIrTJ,1,0,1,0,0,6
XHuLDv,0,0,0,0,1,5
kumVWiCoE,0,1,1,1,1,5
QeRAiOEghK,1,2,1,1,0,5
uFOWbqV,0,0,0,1,1,5
AUwqIC,1,0,1,0,1,3
kJwcPod,0,0,0,1,0,6
ZGbuFc,0,0,0,0,1,5
EPAvHML,1,1,0,0,0,5
rKxYuM,0,0,0,0,1,5
JRvnyP,0,0,0,0,0,6
VadclES,1,1,0,0,0,5
UPaIHCxMK,1,0,1,0,1,6
znGIrp,0,0,1,0,0,5
bJDAHd,1,0,0,0,0,5
qtGAoJXel,1,1,0,1,0,6
zkABuwIN,1,0,1,0,1,5
MtYWaCi,1,0,1,0,0,5
jYuKmX,0,0,0,0,1,5
KPhSFOREt,0,1,0,1,0,7
gfiYljEha,1,1,1,0,0,6
IciKeRP,0,1,2,0,0,4
ufMnig,0,0,1,0,1,4
VyvrmRGIh,0,0,1,0,0,8
GToNixXP,0,0,1,1,0,6
ZLtWcgERNo,0,1,0,1,0,8
eHZyBVP,0,1,0,0,0,6
ZcBAkO,1,0,0,1,0,4
DuMUJmno,0,0,0,1,2,5
HVTIAlSj,1,0,1,0,0,6
eIfPjV,0,1,1,0,0,4
XnvsxNy,0,0,0,0,0,7
hbkldA,1,0,0,0,0,5
ndpmPjQMU,0,0,0,0,1,8
zaELvxX,1,1,0,0,0,5
osgxeOE,0,2,0,2,0,3
MenRNaoTj,1,1,0,1,0,6
OVywzmKqQ,0,0,0,1,0,8
iQhBjfFGlr,0,0,1,0,0,9
tZejOlBEY,0,2,0,1,0,6
mXGfeEMD,0,2,0,0,0,6
lfKjyZRprF,0,0,0,0,0,10
CQwMqLV,0,0,0,0,0,7
MNRETsitmC,0,1,1,0,0,8
rafcXRh,1,0,0,0,0,6
xFocKu,0,0,0,1,1,4
VTXupUN,0,0,0,0,2,5
cBdMlNJwt,0,0,0,0,0,9
BwtJbZnYus,0,0,0,0,1,9
xDRykV,0,0,0,0,0,6
ABnrTmV,1,0,0,0,0,6
SmuaUkRe,1,1,0,0,2,4
tBGeWlKwd,0,1,0,0,0,8
fScalv,1,0,0,0,0,5
RJjmoUWws,0,0,0,1,1,7
UYjuCvbpP,0,0,0,0,2,7
anDgLl,1,0,0,0,0,5
pnxRbkdW,0,0,0,0,0,8
igmWzS,0,0,1,0,0,5
SKiNjyzWkH,0,0,1,0,0,9
LGkxIsKpCn,0,0,1,0,0,9
YpgSVaL,1,0,0,0,0,6
YsGxIqb,0,0,1,0,0,6
isBDCI,0,0,2,0,0,4
XrREmdxTh,0,1,0,0,0,8
vprwIKmHqF,0,0,1,0,0,9
UJAvDy,1,0,0,0,1,4
zypkADlF,1,0,0,0,0,7
oPDezL,0,1,0,1,0,4
nItxGCmFBw,0,0,1,0,0,9
FWPolSO,0,0,0,2,0,5
xjKENmDX,0,1,0,0,0,7
JwzhAQbH,1,0,0,0,0,7
TFZHeryC,0,1,0,0,0,7
rPpZzkqI,0,0,1,0,0,7
rWAPSR,1,0,0,0,0,5
PCTfpsmz,0,0,0,0,0,8
DvZwYFG,0,0,0,0,0,7
hMuAGC,1,0,0,0,1,4
wgbXTs,0,0,0,0,0,6
IiqEjCX,0,1,2,0,0,4
tpqNkGDb,0,0,0,0,0,8
nYtjvafQA,2,0,0,0,0,7
dkPbSfw,0,0,0,0,0,7
oEYaecNZn,1,2,0,1,0,5
wxpZHEo,0,1,0,1,0,5
FQzfNWJCK,0,0,0,0,0,9
ZUsYeVXHPm,0,1,0,0,1,8
esUzEB,0,2,0,0,1,3
gbZKjEYX,0,1,0,0,0,7
NvcUAhsyp,1,0,0,0,1,7
DQATUj,1,0,0,0,1,4
cIwfBv,0,0,1,0,0,5
hoKbcO,0,0,0,2,0,4
UJpxrq,0,0,0,0,1,5
QhjZzu,0,0,0,0,1,5
uzkEnIi,0,1,2,0,1,3
TZVpjYiyn,0,0,1,0,0,8
MHyPOrv,0,0,0,1,0,6
RBFJkG,0,0,0,0,0,6
WbQCIwRL,0,0,1,0,0,7
zdNSlkjmXa,1,0,0,0,0,9
jldSBM,0,0,0,0,0,6
WSKHmueB,0,1,0,0,1,6
mHRVZdDuL,0,0,0,0,1,8
aUTHtIpW,1,0,1,0,1,5
KSNmaTHw,1,0,0,0,0,7
BTtgiC,0,0,1,0,0,5
mwjpFx,0,0,0,0,0,6
TzMcgZ,0,0,0,0,0,6
VQauxLro,1,0,0,1,1,5
EDFnhso,0,1,0,1,0,5
wlEQPMRs,0,1,0,0,0,7
FRPLelr,0,1,0,0,0,6
usDrWb,0,0,0,0,1,5
MBSFiKb,0,0,1,0,0,6
zQimZaks,1,0,1,0,0,6
WfEpVNvxK,0,1,0,0,0,8
gnvFANDrJ,1,0,0,0,0,8
vZXfeg,0,1,0,0,0,5
rnKvkwTEC,0,1,0,0,0,8
abJDwuv,1,0,0,0,1,5
tszTXliJ,0,0,1,0,0,7
NdDhrZu,0,0,0,0,1,6
sJorwbIa,1,0,1,1,0,5
pcfjhIi,0,0,2,0,0,5
bjGPvUIr,0,0,1,0,1,6
pgKyqZkBM,0,0,0,0,0,9
HjbBvyi,0,0,1,0,0,6
szHhdgkTO,0,0,0,1,0,8
ieNfVyo,0,1,1,1,0,4
svetcYxND,0,1,0,0,0,8
oYWGcZx,0,0,0,1,0,6
kcvLeEu,0,2,0,0,1,4
QEzTyIUh,0,1,1,0,1,5
cOmZRGS,0,0,0,1,0,6
GfoRZyLzQ,0,0,0,1,0,8
NUZVbx,0,0,0,0,1,5
jZYVGtPe,0,1,0,0,0,7
DjJcIrmC,0,0,1,0,0,7
FLxJPO,0,0,0,1,0,5
uNQhnwJK,0,0,0,0,1,7
tTEWZe,0,2,0,0,0,4
EozUjR,0,1,0,1,1,3
jfGrNocAO,1,0,0,2,0,6
xEPaNMiX,1,1,1,0,0,5
QGcZKrSqV,0,0,0,0,0,9
GqrMHQ,0,0,0,0,0,6
eijSWR,0,1,1,0,0,4
RwUmBK,0,0,0,0,1,5
fLQiRxCcuy,0,0,1,0,1,8
APzrxjV,1,0,0,0,0,6
EPeobM,0,2,0,1,0,3
dIWjruqfkY,0,0,1,0,1,8
VTWdcmKhsA,1,0,0,0,0,9
tghoJO,0,0,0,2,0,4
IiBGlnp,0,0,2,0,0,5
AuKEyHUC,1,1,0,0,2,4
qUSkoe,0,1,0,1,1,3
zMHgJnfvpd,0,0,0,0,0,10
badfBvQ,1,0,0,0,0,6
YQNUvex,0,1,0,0,1,5
WoZqanr,1,0,0,1,0,5
QknMZpL,0,0,0,0,0,7
tFTJGWQAPp,1,0,0,0,0,9
KxeBuz,0,1,0,0,1,4
GCoOMmTiHs,0,0,1,2,0,7
IpoydBc,0,0,1,1,0,5
zNVRfoH,0,0,0,1,0,6
oIeiRDUB,0,1,2,1,1,3
FBPwtQp,0,0,0,0,0,7
nsSdqf,0,0,0,0,0,6
RYbjSNiq,0,0,1,0,0,7
ZkzNmJsK,0,0,0,0,0,8
LxHZzygY,0,0,0,0,0,8
JGWwPSHyXi,0,0,1,0,0,9
FxaVwJl,1,0,0,0,0,6
dTZfYADnxF,1,0,0,0,0,9
OMrRCB,0,0,0,1,0,5
wHQfDWUj,0,0,0,0,1,7
kRlCoIjsr,0,0,1,1,0,7
SRmEnji,0,1,1,0,0,5
hbjgtw,0,0,0,0,0,6
biXonHCy,0,0,1,1,0,6
cvgVWPia,1,0,1,0,0,6
nTjzmtMS,0,0,0,0,0,8
vHedTE,0,2,0,0,0,4
MrJykmPS,0,0,0,0,0,8
MRwArVNHu,1,0,0,0,1,7
WkQZGfvs,0,0,0,0,0,8
isYESMbm,0,1,1,0,0,6
fTxHziM,0,0,1,0,0,6
RxbBWQ,0,0,0,0,0,6
yrTcVz,0,0,0,0,0,6
jDHXKfCJVs,0,0,0,0,0,10
zeUsAfi,1,1,1,0,1,3
FsBMmUf,0,0,0,0,1,6
uySjRmV,0,0,0,0,1,6
KiatEzAmO,2,1,1,1,0,4
krKyHM,0,0,0,0,0,6
dTrfBaLM,1,0,0,0,0,7
sKAWQu,1,0,0,0,1,4
cXMeJQWBz,0,1,0,0,0,8
TLFnYKWodu,0,0,0,1,1,8
uDOlKCvi,0,0,1,1,1,5
sTiIXGFq,0,0,2,0,0,6
icRAGEhfz,1,1,1,0,0,6
KupvTbzGd,0,0,0,0,1,8
gZAwULY,1,0,0,0,1,5
buOcNGTipV,0,0,1,1,1,7
shDdRv,0,0,0,0,0,6
CIRgjW,0,0,1,0,0,5
dQTLoas,1,0,0,1,0,5
lqBdxmGZ,0,0,0,0,0,8
fDGMCBVo,0,0,0,1,0,7
EaKZoFsD,1,1,0,1,0,5
bsvSZE,0,1,0,0,0,5
TjQhnqfu,0,0,0,0,1,7
rbeRwlc,0,1,0,0,0,6
aSCqyM,1,0,0,0,0,5
UNKTWjXb,0,0,0,0,1,7
sNbXhkP,0,0,0,0,0,7
QWoTGHK,0,0,0,1,0,6
exEAiVs,1,2,1,0,0,3
mXonDe,0,1,0,1,0,4
YkxPIj,0,0,1,0,0,5
HnORyWSoJ,0,0,0,2,0,7
gFVGrobMW,0,0,0,1,0,8
WJifAXFLN,1,0,1,0,0,7
zYbHrdRA,1,0,0,0,0,7
Ddbmgzp,0,0,0,0,0,7
arSqCA,2,0,0,0,0,4
DhozJN,0,0,0,1,0,5
UbVutAR,1,0,0,0,2,4
WuKvCT,0,0,0,0,1,5
EQVPmqyT,0,1,0,0,0,7
FaCyfrNi,1,0,1,0,0,6
VLrhXtClQY,0,0,0,0,0,10
DzEUitvM,0,1,1,0,1,5
fPYxRgiFc,0,0,1,0,0,8
uwZYOA,1,0,0,1,1,3
XTCveuayp,1,1,0,0,1,6
UIEFuy,0,1,1,0,2,2
OYPMdyLkA,1,0,0,1,0,7
orhfYMAFZ,1,0,0,1,0,7
nJDxHPX,0,0,0,0,0,7
JlOetTBfID,0,1,1,1,0,7
gIVFaTMU,1,0,1,0,1,5
lqTIcSkXon,0,0,1,1,0,8
wfvxORuX,0,0,0,1,1,6
uEhwFoiH,0,1,1,1,1,4
kDCZmvlJM,0,0,0,0,0,9
JLPsBRVnar,1,0,0,0,0,9
MgJkRDc,0,0,0,0,0,7
gesOuN,0,1,0,1,1,3
MKumEIs,0,1,1,0,1,4
PBLNRg,0,0,0,0,0,6
yQrfKZNgzD,0,0,0,0,0,10
AIqQbdgY,1,0,1,0,0,6
qkSKJtvF,0,0,0,0,0,8
VIRXONwi,0,0,2,1,0,5
PvVcpC,0,0,0,0,0,6
IMEhASVRU,1,1,1,0,1,5
dkQDLsp,0,0,0,0,0,7
NhdkGPict,0,0,1,0,0,8
TxuQfqJ,0,0,0,0,1,6
DaqkLo,1,0,0,1,0,4
WHxCoNBpum,0,0,0,1,1,8
aDWryxveZ,1,1,0,0,0,7
kYuOlAm,1,0,0,1,1,4
zsECawY,1,1,0,0,0,5
avizBQwOc,1,0,1,1,0,6
oIWZsCB,0,0,1,1,0,5
NzErhe,0,2,0,0,0,4
QJhfIo,0,0,1,1,0,4
XHOskrQSn,0,0,0,1,0,8
AOiWTpY,1,0,1,1,0,4
PlueksVy,0,1,0,0,1,6
pEPWtY,0,1,0,0,0,5
dWeEzn,0,2,0,0,0,4
HZQNtE,0,1,0,0,0,5
RhzqwpOeYE,0,2,0,1,0,7
PXUuDdzLHG,0,0,0,0,2,8
QzhGLANZ,1,0,0,0,0,7
cHFDAr,1,0,0,0,0,5
mNtOlaDGb,1,0,0,1,0,7
OBcuaQhX,1,0,0,1,1,5
fdvoZUQ,0,0,0,1,1,5
pEkCfvjKsR,0,1,0,0,0,9
YBLcNT,0,0,0,0,0,6
XINorA,1,0,1,1,0,3
wXcviOaU,1,0,1,1,1,4
kpHCRYBuaz,1,0,0,0,1,8
xIGvkpsOd,0,0,1,1,0,7
dNEIXuylS,0,1,1,0,1,6
xGRlXU,0,0,0,0,1,5
GjcImsxdz,0,0,1,0,0,8
hBrfpJT,0,0,0,0,0,7
WhbedpoR,0,1,0,1,0,6
GfzUga,1,0,0,0,1,4
gqTWLmv,0,0,0,0,0,7
iFyZxk,0,0,1,0,0,5
etnwyQ,0,1,0,0,0,5
rgyfGV,0,0,0,0,0,6
kWENcx,0,1,0,0,0,5
OdpFng,0,0,0,1,0,5
pWlCGKi,0,0,1,0,0,6
eLiKJc,0,1,1,0,0,4
hKPIbJxfq,0,0,1,0,0,8
PmRcNpi,0,0,1,0,0,6
XlZVWqhtJ,0,0,0,0,0,9
qjVIcnK,0,0,1,0,0,6
Meotgu,0,1,0,1,1,3
sTXzKic,0,0,1,0,0,6
JiRvMy,0,0,1,0,0,5
gCvEyWfGd,0,1,0,0,0,8
LuySVO,0,0,0,1,1,4
HSlXIfei,0,1,2,0,0,5
rjsbEW,0,1,0,0,0,5
lcqvTWsbKr,0,0,0,0,0,10
dKbEHLyMwC,0,1,0,0,0,9
dDPTniz,0,0,1,0,0,6
xsGAwQSta,2,0,0,0,0,7
lKPTigp,0,0,1,0,0,6
WxpBkLV,0,0,0,0,0,7
NrPDSoy,0,0,0,1,0,6
LAhilB,1,0,1,0,0,4
jtxfSsCXq,0,0,0,0,0,9
TPERmi,0,1,1,0,0,4
ncmdVXx,0,0,0,0,0,7
YBxone,0,1,0,1,0,4
CkMoEW,0,1,0,1,0,4
TEBfbG,0,1,0,0,0,5
cptjbWmHz,0,0,0,0,0,9
AsrvXP,1,0,0,0,0,5
NftHYox,0,0,0,1,0,6
mWtisID,0,0,2,0,0,5
eENyJLAIb,1,2,1,0,0,5
WpMVbxzF,0,0,0,0,0,8
xOlcgi,0,0,1,1,0,4
VzrcBTxAU,1,0,0,0,1,7
RfMrJAZ,1,0,0,0,0,6
JFPIuSGq,0,0,1,0,1,6
uERvNX,0,1,0,0,1,4
wJRoHX,0,0,0,1,0,5
jsJnzBGWt,0,0,0,0,0,9
Tdpbka,1,0,0,0,0,5
VnTdHjuMX,0,0,0,0,1,8
KRQjIPy,0,0,1,0,0,6
gVTNnJA,1,0,0,0,0,6
BecLyrjZ,0,1,0,0,0,7
hJrRdvDquP,0,0,0,0,1,9
TefgQmbxai,1,1,1,0,0,7
DabzjGx,1,0,0,0,0,6
YjpaCI,1,0,1,0,0,4
onzMqemIl,0,1,1,1,0,6
kpNIhL,0,0,1,0,0,5
NHVxYvdwM,0,0,0,0,0,9
UCJHAPr,1,0,0,0,1,5
PjvIprs,0,0,1,0,0,6
tZPckvjE,0,1,0,0,0,7
mSvRqGL,0,0,0,0,0,7
sxJuFV,0,0,0,0,1,5
Fwcfztnq,0,0,0,0,0,8
MiAVuzF,1,0,1,0,1,4
xOtrUnWg,0,0,0,1,1,6
iZhHxKNz,0,0,1,0,0,7
DPWvXtJZ,0,0,0,0,0,8
zAItCmu,1,0,1,0,1,4
zOhTuUI,0,0,1,1,2,3
iQcGUhE,0,1,1,0,1,4
GrObIj,0,0,1,1,0,4
zGEARdj,1,1,0,0,0,5
dhafsJPoVm,1,0,0,1,0,8
bNvUHSYBgm,0,0,0,0,1,9
eKQZbI,0,1,1,0,0,4
qGuPcU,0,0,0,0,2,4
BWyTrKisgk,0,0,1,0,0,9
TliAzNFE,1,1,1,0,0,5
MzIVbpC,0,0,1,0,0,6
yLsHKWAr,1,0,0,0,0,7
BPpdQXbv,0,0,0,0,0,8
qLlsGOIBQu,0,0,1,1,1,7
ZifeKQjpU,0,1,1,0,1,6
DVfAWhyG,1,0,0,0,0,7
uvPoKUnNjR,0,0,0,1,2,7
diblsK,0,0,1,0,0,5
ZzmMBGsx,0,0,0,0,0,8
UrERZLN,0,1,0,0,1,5
miybXaAK,2,0,1,0,0,5
dcwpsvBiyV,0,0,1,0,0,9
GiVpfRTD,0,0,1,0,0,7
opJMigXVB,0,0,1,1,0,7
XEpxfsUt,0,1,0,0,1,6
OrfIeAD,1,1,1,1,0,3
TyfYXp,0,0,0,0,0,6
lhZpfYIxb,0,0,1,0,0,8
AUTxpfL,1,0,0,0,1,5
lWpGPtLmxO,0,0,0,1,0,9
IbgZamhCYr,1,0,1,0,0,8
gHbTrEXz,0,1,0,0,0,7
NsteWQzY,0,1,0,0,0,7
IymXZzkYn,0,0,1,0,0,8
XMfPvE,0,1,0,0,0,5
rNSMteRk,0,1,0,0,0,7
IRvMmZio,0,0,2,1,0,5
DMhCHok,0,0,0,1,0,6
cDOXbgw,0,0,0,1,0,6
OHygWUkb,0,0,0,1,1,6
iQyrBKOg,0,0,1,1,0,6
DXYJFet,0,1,0,0,0,6
LYNAJfZc,1,0,0,0,0,7
AqmOkFbJyw,1,0,0,1,0,8
LIGReTqj,0,1,1,0,0,6
IMYcyQ,0,0,1,0,0,5
PIrwQEfhO,0,1,1,1,0,6
puUiQaLBg,1,0,1,0,2,5
cdJuGbQiTF,0,0,1,0,1,8
TxOcwmUSz,0,0,0,1,1,7
jbEhuCplJ,0,1,0,0,1,7
TEONAfxIq,1,1,1,1,0,5
OBdSCop,0,0,0,2,0,5
VPFbkdl,0,0,0,0,0,7
qLRsWVe,0,1,0,0,0,6
FmlcVChS,0,0,0,0,0,8
AyecCgXb,1,1,0,0,0,6
tWyLiQ,0,0,1,0,0,5
puaDCik,1,0,1,0,1,4
uzpgUHc,0,0,0,0,2,5
HXxtDsd,0,0,0,0,0,7
SfrLxg,0,0,0,0,0,6
WfZproY,0,0,0,1,0,6
Xocnpxw,0,0,0,1,0,6
MzGoFqv,0,0,0,1,0,6
qvhrVU,0,0,0,0,1,5
gtIPDwTx,0,0,1,0,0,7
MqYHUk,0,0,0,0,1,5
qzCZQfx,0,0,0,0,0,7
EAGkxUR,1,1,0,0,1,4
ymXtQsp,0,0,0,0,0,7
mjsGuzga,1,0,0,0,1,6
cBrqMfAo,1,0,0,1,0,6
oDiBxgUv,0,0,1,1,1,5
TlKCQxWioA,1,0,1,1,0,7
HNSJKrwklG,0,0,0,0,0,10
OdVqHMxaF,1,0,0,1,0,7
gZlSEU,0,1,0,0,1,4
YdBtwbXAu,1,0,0,0,1,7
jqgIrxUvE,0,1,1,0,1,6
NGHFlODsW,0,0,0,1,0,8
kLKtZUE,0,1,0,0,1,5
